 ,R Premaxilla,L Premaxilla,R Maxilla,L Maxilla,R Nasal,L Nasal,R Lacrimal,L Lacrimal,R Prefrontal,L Prefrontal,R Postorbital,L Postorbital,R Jugal,L Jugal,R Quadratojugal,L Quadratojugal,R Squamosal,L Squamosal,R Frontal,L Frontal,R Parietal,L Parietal,R Pterygoid,L Pterygoid,R Ectopterygoid,L Ectopterygoid,R Quadrate,L Quadrate,R Palatine,L Palatine,R Otoccipital,L Otoccipital,R Postfrontal,L Postfrontal,R Prootic,L Prootic,R Laterosphenoid,L Laterosphenoid,Supraoccipital,Basioccipital,Parabasisphenoid,R Epipterygoid,L Epipterygoid
R Premaxilla,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
L Premaxilla,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
R Maxilla,1,,,1,1,,1,,,,,,1,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,
L Maxilla,,1,1,,,1,,1,,,,,,1,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,
R Nasal,1,,1,,,1,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
L Nasal,,1,,1,1,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
R Lacrimal,,,1,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L Lacrimal,,,,1,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R Prefrontal,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
L Prefrontal,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
R Postorbital,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,1,,,,1,,,,,,
L Postorbital,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,1,,,,1,,,,,
R Jugal,,,1,,,,1,,,,1,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
L Jugal,,,,1,,,,1,,,,1,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,
R Quadratojugal,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
L Quadratojugal,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
R Squamosal,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,
L Squamosal,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,
R Frontal,,,,,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,1,,,,,,
L Frontal,,,,,,1,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,1,,,,,
R Parietal,,,,,,,,,,,1,,,,,,1,,1,,,1,,,,,,,,,,,,,,,1,,1,,,,
L Parietal,,,,,,,,,,,,1,,,,,,1,,1,1,,,,,,,,,,,,,,,,,1,1,,,,
R Pterygoid,,,1,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,1,,,,,,,,,,,,1,1,
L Pterygoid,,,,1,,,,,,,,,,1,,,,,,,,,1,,,1,,1,,1,,,,,,,,,,,1,,1
R Ectopterygoid,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
L Ectopterygoid,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
R Quadrate,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,1,,,,,,,,,,1,,
L Quadrate,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,1,,,,,,,,,1,,
R Palatine,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,
L Palatine,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
R Otoccipital,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,1,,,,1,1,1,,
L Otoccipital,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,1,,,1,1,1,,
R Postfrontal,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,
L Postfrontal,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,
R Prootic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,
L Prootic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,
R Laterosphenoid,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,1,,1,,,1,,,1,1,
L Laterosphenoid,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,1,,1,1,,,,1,,1
Supraoccipital,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,
Basioccipital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,
Parabasisphenoid,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,,1,1,,1,,,
R Epipterygoid,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,
L Epipterygoid,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,
